time,direction,confidence,entry_price,stop,target,exit_price,atr,result,pnl_pips,candles_held
2025-07-29 23:15:00,BUY,0.406,1.155,1.15461,1.15551,1.15551,0.00026,WIN,5.14,3
2025-07-30 00:15:00,BUY,0.4791,1.15623,1.15578,1.15683,1.15683,0.0003,WIN,6.0,3
2025-07-30 01:00:00,BUY,0.4659,1.1571,1.15656,1.15781,1.15656,0.00036,LOSS,-5.36,1
2025-07-30 01:30:00,BUY,0.413,1.15666,1.15599,1.15756,1.15645,0.00045,TIME,-2.1,3
2025-07-30 05:15:00,BUY,0.4378,1.15549,1.15472,1.15652,1.15472,0.00051,LOSS,-7.7,3
2025-07-30 06:15:00,BUY,0.4825,1.15527,1.15436,1.15649,1.15649,0.00061,WIN,12.2,3
2025-07-30 07:00:00,BUY,0.4881,1.15618,1.15517,1.15752,1.15517,0.00067,LOSS,-10.08,3
2025-07-30 07:45:00,BUY,0.4883,1.15541,1.15431,1.15687,1.15566,0.00073,TIME,2.5,3
2025-07-30 10:30:00,BUY,0.4014,1.15404,1.153,1.15542,1.153,0.00069,LOSS,-10.35,3
2025-07-30 11:15:00,BUY,0.4535,1.15313,1.15213,1.15447,1.15213,0.00067,LOSS,-10.04,3
2025-07-30 11:45:00,BUY,0.4472,1.15321,1.15218,1.15458,1.15218,0.00068,LOSS,-10.25,1
2025-07-30 12:15:00,BUY,0.4504,1.15118,1.14991,1.15287,1.14991,0.00085,LOSS,-12.69,1
2025-07-30 12:45:00,BUY,0.4038,1.14738,1.14564,1.1497,1.14652,0.00116,TIME,-8.6,3
2025-07-30 18:15:00,BUY,0.426,1.14865,1.14745,1.15025,1.14745,0.0008,LOSS,-11.97,1
2025-07-30 18:45:00,BUY,0.4491,1.14249,1.14058,1.14504,1.14249,0.00127,TIME,0.0,3
2025-07-31 06:15:00,BUY,0.4272,1.14507,1.14381,1.14675,1.14562,0.00084,TIME,5.5,3
2025-07-31 07:00:00,BUY,0.4834,1.1457,1.14457,1.14721,1.14457,0.00075,LOSS,-11.3,1
2025-07-31 07:30:00,BUY,0.4356,1.14377,1.14248,1.14549,1.14437,0.00086,TIME,6.0,3
2025-07-31 08:00:00,BUY,0.4264,1.14498,1.14352,1.14693,1.14499,0.00097,TIME,0.1,3
2025-07-31 12:30:00,BUY,0.4103,1.14349,1.14205,1.14541,1.14205,0.00096,LOSS,-14.4,2
2025-07-31 13:15:00,BUY,0.4368,1.141,1.13936,1.14319,1.14218,0.00109,TIME,11.8,3
2025-07-31 23:15:00,BUY,0.4132,1.14209,1.14129,1.14316,1.14233,0.00054,TIME,2.4,3
2025-08-01 00:15:00,BUY,0.4463,1.14258,1.14175,1.14368,1.14262,0.00055,TIME,0.4,3
2025-08-01 05:15:00,BUY,0.4446,1.14215,1.14128,1.1433,1.1433,0.00058,WIN,11.54,2
2025-08-01 05:45:00,BUY,0.4778,1.14315,1.14226,1.14434,1.1433,0.0006,TIME,1.5,3
2025-08-01 06:45:00,BUY,0.4861,1.14303,1.14218,1.14417,1.14218,0.00057,LOSS,-8.54,3
2025-08-01 07:30:00,BUY,0.4652,1.14222,1.14123,1.14354,1.14198,0.00066,TIME,-2.4,3
2025-08-01 08:00:00,BUY,0.4713,1.14159,1.14051,1.14304,1.14062,0.00072,TIME,-9.7,3
2025-08-01 12:15:00,BUY,0.4477,1.1395,1.13817,1.14128,1.14128,0.00089,WIN,17.76,1
2025-08-01 12:45:00,BUY,0.4424,1.15463,1.15162,1.15865,1.15681,0.00201,TIME,21.8,3
2025-08-01 13:30:00,BUY,0.4169,1.1569,1.15337,1.1616,1.15679,0.00235,TIME,-1.1,3
2025-08-04 00:15:00,BUY,0.4244,1.15654,1.15535,1.15812,1.15535,0.00079,LOSS,-11.85,3
2025-08-04 01:15:00,BUY,0.4055,1.15543,1.15412,1.15718,1.15718,0.00088,WIN,17.51,2
2025-08-04 05:00:00,BUY,0.4416,1.15794,1.15692,1.1593,1.15692,0.00068,LOSS,-10.17,3
2025-08-04 05:45:00,BUY,0.4831,1.15713,1.15618,1.1584,1.15743,0.00064,TIME,3.0,3
2025-08-04 06:15:00,BUY,0.481,1.15674,1.15556,1.15832,1.15661,0.00079,TIME,-1.3,3
2025-08-04 06:45:00,BUY,0.4859,1.15726,1.15607,1.15885,1.15607,0.00079,LOSS,-11.92,2
2025-08-04 07:30:00,BUY,0.4471,1.15579,1.15438,1.15767,1.15612,0.00094,TIME,3.3,3
2025-08-04 11:45:00,BUY,0.428,1.15678,1.15533,1.15872,1.15872,0.00097,WIN,19.39,3
2025-08-04 12:30:00,BUY,0.4835,1.1586,1.15711,1.16059,1.15859,0.00099,TIME,-0.1,3
2025-08-04 13:00:00,BUY,0.4715,1.15879,1.15712,1.16102,1.15757,0.00111,TIME,-12.2,3
2025-08-04 14:00:00,BUY,0.4343,1.15782,1.15599,1.16026,1.15599,0.00122,LOSS,-18.27,3
2025-08-05 00:00:00,BUY,0.4449,1.15869,1.15805,1.15954,1.15805,0.00043,LOSS,-6.41,1
2025-08-05 00:30:00,BUY,0.4565,1.15764,1.15697,1.15854,1.15697,0.00045,LOSS,-6.72,2
2025-08-05 01:15:00,BUY,0.4368,1.15682,1.1559,1.15804,1.1559,0.00061,LOSS,-9.15,3
2025-08-05 05:15:00,BUY,0.4568,1.15547,1.15479,1.15638,1.15479,0.00045,LOSS,-6.81,1
2025-08-05 05:45:00,BUY,0.4852,1.15489,1.15419,1.15582,1.15582,0.00047,WIN,9.33,2
2025-08-05 06:30:00,BUY,0.4895,1.15509,1.15422,1.15625,1.15594,0.00058,TIME,8.5,3
2025-08-05 07:30:00,BUY,0.4598,1.15568,1.15473,1.15695,1.15473,0.00064,LOSS,-9.55,1
2025-08-05 08:00:00,BUY,0.4286,1.15434,1.15314,1.15594,1.15314,0.0008,LOSS,-11.99,3
2025-08-05 12:45:00,BUY,0.4039,1.15383,1.15244,1.15568,1.15494,0.00092,TIME,11.1,3
2025-08-05 13:30:00,BUY,0.4488,1.15506,1.15364,1.15695,1.15364,0.00094,LOSS,-14.18,1
2025-08-05 14:00:00,BUY,0.4562,1.1542,1.15254,1.15642,1.15642,0.00111,WIN,22.16,3
2025-08-06 00:00:00,BUY,0.4769,1.15791,1.15738,1.15862,1.15738,0.00036,LOSS,-5.34,2
2025-08-06 00:45:00,BUY,0.4814,1.15746,1.15695,1.15815,1.15695,0.00034,LOSS,-5.14,1
2025-08-06 01:15:00,BUY,0.4691,1.15665,1.15606,1.15744,1.15665,0.0004,TIME,0.0,3
2025-08-06 06:15:00,BUY,0.4317,1.15856,1.15783,1.15954,1.15783,0.00049,LOSS,-7.33,2
2025-08-06 07:00:00,BUY,0.4883,1.15767,1.15689,1.15871,1.15809,0.00052,TIME,4.2,3
2025-08-06 12:45:00,BUY,0.437,1.16245,1.161,1.16438,1.16226,0.00096,TIME,-1.9,3
2025-08-06 13:45:00,BUY,0.4554,1.1637,1.16222,1.16567,1.16222,0.00099,LOSS,-14.78,1
2025-08-06 14:15:00,BUY,0.4322,1.1635,1.16195,1.16556,1.16376,0.00103,TIME,2.6,3
2025-08-07 00:15:00,BUY,0.4023,1.16563,1.16493,1.16657,1.16531,0.00047,TIME,-3.2,3
2025-08-07 06:30:00,BUY,0.4302,1.16741,1.16658,1.16852,1.16782,0.00056,TIME,4.1,3
2025-08-07 07:30:00,BUY,0.4613,1.16848,1.1676,1.16965,1.16965,0.00059,WIN,11.74,2
2025-08-07 08:00:00,BUY,0.4692,1.16848,1.16743,1.16988,1.16824,0.0007,TIME,-2.4,3
2025-08-07 11:45:00,BUY,0.4156,1.16452,1.16315,1.16635,1.16488,0.00091,TIME,3.6,3
2025-08-07 12:30:00,BUY,0.4154,1.16499,1.16345,1.16704,1.16538,0.00103,TIME,3.9,3
2025-08-08 00:15:00,BUY,0.441,1.16709,1.16634,1.16809,1.16634,0.0005,LOSS,-7.51,3
2025-08-08 01:15:00,BUY,0.4196,1.16619,1.16532,1.16734,1.16592,0.00058,TIME,-2.7,3
2025-08-08 05:15:00,BUY,0.4886,1.16448,1.16378,1.16541,1.16464,0.00047,TIME,1.6,3
2025-08-08 06:15:00,SELL,0.4972,1.16462,1.16539,1.1636,1.16539,0.00051,LOSS,-7.66,3
2025-08-08 07:15:00,BUY,0.4699,1.16559,1.16473,1.16674,1.16617,0.00057,TIME,5.8,3
2025-08-08 07:45:00,BUY,0.4348,1.16602,1.16508,1.16727,1.16508,0.00063,LOSS,-9.4,2
2025-08-08 12:15:00,BUY,0.4765,1.16506,1.16398,1.16649,1.16398,0.00072,LOSS,-10.76,2
2025-08-08 13:00:00,BUY,0.4351,1.16526,1.1641,1.16681,1.16488,0.00078,TIME,-3.8,3
2025-08-08 14:00:00,BUY,0.4473,1.16568,1.1645,1.16726,1.16559,0.00079,TIME,-0.9,3
2025-08-08 18:00:00,BUY,0.4593,1.16616,1.16521,1.16743,1.16521,0.00064,LOSS,-9.54,2
2025-08-11 00:15:00,BUY,0.437,1.16462,1.16395,1.16551,1.16479,0.00045,TIME,1.7,3
2025-08-11 01:15:00,BUY,0.4016,1.16518,1.16457,1.16599,1.16599,0.0004,WIN,8.1,3
2025-08-11 02:00:00,BUY,0.4642,1.16666,1.16601,1.16753,1.16656,0.00043,TIME,-1.0,3
2025-08-11 06:15:00,BUY,0.4735,1.16673,1.16614,1.16751,1.16614,0.00039,LOSS,-5.86,3
2025-08-11 07:15:00,BUY,0.4693,1.16552,1.16489,1.16636,1.16489,0.00042,LOSS,-6.31,2
2025-08-11 07:45:00,BUY,0.4793,1.16479,1.16411,1.16569,1.16569,0.00045,WIN,9.01,3
2025-08-11 11:45:00,BUY,0.4446,1.16296,1.162,1.16425,1.162,0.00064,LOSS,-9.64,1
2025-08-11 12:15:00,BUY,0.4666,1.1624,1.1613,1.16387,1.16221,0.00073,TIME,-1.9,3
2025-08-11 13:15:00,BUY,0.4567,1.16222,1.16115,1.16365,1.16115,0.00072,LOSS,-10.75,3
